# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	50309
#@/user_id	d1e9347d-3da2-40c9-ae30-f3f46160b0bf
a 	啊	c=268 d=4.75122 t=50309
hao hao ting 	好好聽	c=1 d=2.30356e-23 t=50309
hao huai 	好壞	c=1 d=5.88786e-34 t=50309
hao ji ci 	好幾次	c=1 d=1 t=49984
hao ji ge 	好幾個	c=2 d=1.03523e-25 t=50309
hao ji tian 	好幾天	c=1 d=3.11627e-78 t=50309
hao jia huo 	好傢伙	c=37 d=0.462632 t=50309
hao jin 	好近	c=1 d=2.56366e-105 t=50309
hao jiu 	好久	c=29 d=0.000431794 t=50309
hao kan 	好看	c=24 d=0.404546 t=50309
hao kang 	好康	c=1 d=8.20684e-29 t=50309
hao kun 	好睏	c=6 d=6.10194e-13 t=50309
hao le 	好了	c=5 d=3.49904e-88 t=50309
hao lei 	好累	c=5 d=0.0862936 t=50309
hao li hai 	好厲害	c=1 d=1.08776e-19 t=50309
hao ma 	好嗎	c=1 d=2.8353e-84 t=50309
hao ma 	號碼	c=2 d=2.66718e-12 t=50309
hao ma fan 	好麻煩	c=1 d=1.11757e-43 t=50309
hao mi 	毫米	c=1 d=1.48176e-38 t=50309
hao miao 	毫秒	c=1 d=6.1484e-14 t=50309
hao nan 	好難	c=6 d=0.0095134 t=50309
hao pang 	好胖	c=1 d=2.33346e-57 t=50309
hao ping 	好評	c=1 d=1.18221e-28 t=50309
hao qi guai 	好奇怪	c=1 d=0.000547581 t=50309
hao ren 	好人	c=1 d=1.53711e-87 t=50309
hao shi 	好事	c=1 d=1.5285e-21 t=50309
hao shuai 	好帥	c=2 d=1.9827e-23 t=50309
hao shuo 	好說	c=1 d=1.26522e-91 t=50309
hao ting 	好聽	c=5 d=1.56713e-49 t=50309
hao wan 	好玩	c=14 d=0.0305248 t=50309
hao wu 	毫無	c=1 d=2.16602e-34 t=50309
hao wu liao 	好無聊	c=1 d=0.00530026 t=50309
hao xi huan 	好喜歡	c=1 d=5.83424e-44 t=50309
hao xiang 	好像	c=36 d=0.617576 t=50309
hao xiao 	好笑	c=2 d=3.22968e-28 t=50309
hao xie 	好些	c=1 d=1 t=50162
hao ye 	好耶	c=11 d=0.0575558 t=50309
hao yong 	好用	c=10 d=1.47494e-47 t=50309
hao you 	好友	c=3 d=2.46505e-26 t=50309
hao yun 	好運	c=1 d=6.72606e-41 t=50309
hao zuo 	好做	c=2 d=4.90944e-43 t=50309
he 	何	c=4 d=0.00038711 t=50309
he 	合	c=10 d=0.000331873 t=50309
he 	和	c=307 d=2.5832 t=50309
he 	喝	c=9 d=4.81082e-10 t=50309
he 	河	c=1 d=1.16735e-85 t=50309
he bing 	合併	c=24 d=0.000165659 t=50309
he cheng 	合成	c=1 d=4.87451e-106 t=50309
he fa 	合法	c=8 d=3.08424e-23 t=50309
he fa xing 	合法性	c=2 d=9.89312e-51 t=50309
he gu 	合股	c=3 d=1.75213e-56 t=50309
he ji 	合計	c=1 d=7.03779e-74 t=50309
he jiu 	喝酒	c=2 d=1.53383e-13 t=50309
he li 	合理	c=10 d=4.13599e-25 t=50309
he ni 	和你	c=4 d=0.00136467 t=50309
he qi lai 	合起來	c=3 d=1.02289e-59 t=50309
he ru 	何如	c=1 d=1.77358e-94 t=50309
he shi 	合適	c=2 d=8.03065e-09 t=50309
he shui 	喝水	c=1 d=3.83129e-67 t=50309
he ta 	和他	c=1 d=2.6247e-29 t=50309
he ta 	和她	c=3 d=0.0364167 t=50309
he wo 	和我	c=8 d=0.0134186 t=50309
he xin 	核心	c=12 d=0.0689413 t=50309
he zhan 	合戰	c=1 d=6.44762e-73 t=50309
he zuo 	合作	c=2 d=3.06746e-10 t=50309
hei 	黑	c=1 d=9.33446e-73 t=50309
hei ma 	黑馬	c=1 d=7.39637e-41 t=50309
hei ming dan 	黑名單	c=1 d=1.01191e-51 t=50309
hei pi 	黑皮	c=1 d=4.99483e-40 t=50309
hei se 	黑色	c=3 d=2.32996e-10 t=50309
hen 	很	c=39 d=0.832666 t=50309
hen 	恨	c=2 d=7.57998e-06 t=50309
hen bu cuo 	很不錯	c=2 d=7.53295e-21 t=50309
hen cha 	很差	c=2 d=5.48105e-74 t=50309
hen chang 	很長	c=2 d=5.28101e-19 t=50309
hen da 	很大	c=9 d=1.24098 t=50309
hen di 	很低	c=1 d=0.839457 t=50309
hen du 	狠毒	c=1 d=7.76211e-50 t=50309
hen duo 	很多	c=36 d=0.000234049 t=50309
hen fan 	很煩	c=1 d=4.79867e-98 t=50309
hen fu za 	很複雜	c=1 d=4.62604e-20 t=50309
hen gan ga 	很尷尬	c=1 d=1.06466e-90 t=50309
hen gan xing qu 	很感興趣	c=1 d=8.72412e-101 t=50309
hen gao 	很高	c=4 d=1.63338 t=50309
hen gao xing 	很高興	c=1 d=2.5815e-69 t=50309
hen hao 	很好	c=10 d=0.0197421 t=50309
hen hao kan 	很好看	c=1 d=4.15405e-48 t=50309
hen ji 	很急	c=1 d=3.50116e-07 t=50309
hen jian dan 	很簡單	c=8 d=5.12693e-21 t=50309
hen jin 	很近	c=2 d=1.42613e-29 t=50309
hen jiu 	很久	c=2 d=2.04169e-15 t=50309
hen ke ai 	很可愛	c=2 d=0.0146253 t=50309
hen kuai 	很快	c=6 d=0.924224 t=50309
hen li hai 	很厲害	c=1 d=1.61592e-87 t=50309
hen man 	很慢	c=1 d=1.09001e-14 t=50309
hen nan 	很難	c=5 d=1.35342e-21 t=50309
hen qi guai 	很奇怪	c=2 d=2.30875e-78 t=50309
hen qiang 	很強	c=3 d=1.84796e-48 t=50309
hen qing chu 	很清楚	c=1 d=2.87815e-84 t=50309
hen rong yi 	很容易	c=1 d=3.24179e-72 t=50309
hen shao 	很少	c=3 d=2.68146e-16 t=50309
hen shuang 	很爽	c=1 d=5.31906e-74 t=50309
hen xi 	很細	c=1 d=9.78572e-99 t=50309
hen xiang 	很像	c=2 d=0.000508015 t=50309
hen xiang si 	很相似	c=1 d=5.88868e-65 t=50309
hen xiang xi 	很詳細	c=1 d=4.70365e-98 t=50309
hen xiao 	很小	c=5 d=0.580881 t=50309
hen xing 	很行	c=1 d=5.37326e-105 t=50309
hen you yong 	很有用	c=1 d=6.7561e-64 t=50309
hen zheng chang 	很正常	c=1 d=2.46028e-62 t=50309
hen zhong yao 	很重要	c=3 d=1.72902e-30 t=50309
hen zu 	很足	c=1 d=8.60188e-82 t=50309
heng 	哼	c=3 d=1.08646e-05 t=50309
heng tiao 	橫挑	c=2 d=1.77985e-18 t=50309
hong 	宏	c=2 d=0.0323869 t=50309
hong 	洪	c=2 d=1.0112e-28 t=50309
hong 	紅	c=2 d=0.0325493 t=50309
hong hong 	轟轟	c=1 d=8.23228e-36 t=50309
hong meng 	鴻蒙	c=2 d=3.38017e-05 t=50309
hong se 	紅色	c=1 d=1.51907e-07 t=50309
hong zuo 	洪祚	c=1 d=1.72813e-24 t=50309
hou 	厚	c=1 d=0.0275983 t=50309
hou 	後	c=142 d=0.813984 t=50309
hou chu 	吼出	c=2 d=4.84984e-17 t=50309
hou duan 	後端	c=37 d=0.0889216 t=50309
hou guo 	後果	c=1 d=2.15485e-32 t=50309
hou hui 	後悔	c=3 d=1.572e-21 t=50309
hou lai 	後來	c=2 d=2.24112e-82 t=50309
hou lang 	後浪	c=3 d=3.96649e-21 t=50309
hou mian 	後面	c=37 d=0.979134 t=50309
hou pai 	後排	c=1 d=1.22962e-20 t=50309
hou qi 	後期	c=8 d=3.81513e-88 t=50309
hou shi 	厚實	c=1 d=2.45218e-82 t=50309
hou tai 	後臺	c=5 d=1.96671e-16 t=50309
hou tui 	後腿	c=1 d=1.15e-56 t=50309
hou tui 	後退	c=1 d=1.14427e-56 t=50309
hou xu 	後序	c=1 d=1.79677e-41 t=50309
hou xu 	後續	c=14 d=3.8491e-07 t=50309
hou xuan ci 	候選詞	c=2 d=4.08472e-107 t=50309
hou zhui 	後綴	c=2 d=6.88694e-25 t=50309
hou zi 	猴子	c=1 d=6.04636e-23 t=50309
hu 	虎	c=1 d=2.22192e-69 t=50309
hu chu 	呼出	c=1 d=5.24897e-65 t=50309
hu die jie 	蝴蝶結	c=2 d=1.59438e-08 t=50309
hu dong 	互動	c=1 d=3.7221e-21 t=50309
hu lian wang 	互聯網	c=8 d=2.5913e-20 t=50309
hu lve 	忽略	c=10 d=1.44317e-51 t=50309
hu pi 	虎皮	c=1 d=1.09072e-51 t=50309
hu shao 	胡哨	c=1 d=1.72661e-43 t=50309
hu xiang 	互相	c=8 d=1.11396e-05 t=50309
hu yan 	護眼	c=2 d=1.05003e-96 t=50309
hu zhuan 	互轉	c=1 d=1.92928e-84 t=50309
hua 	化	c=12 d=0.000455252 t=50309
hua 	畫	c=21 d=0.0117971 t=50309
hua 	花	c=14 d=0.477114 t=50309
hua 	話	c=70 d=0.611845 t=50309
hua chu 	畫出	c=2 d=2.05389e-85 t=50309
hua duo le 	話多了	c=1 d=3.35509e-35 t=50309
hua fen 	劃分	c=4 d=5.37287e-16 t=50309
hua hua 	畫畫	c=1 d=2.31826e-39 t=50309
hua jian 	化簡	c=1 d=1.53554e-75 t=50309
hua li 	華麗	c=1 d=1.718e-43 t=50309
hua li hu shao 	花裏胡哨	c=3 d=0.00511796 t=50309
hua mu lan 	花木蘭	c=1 d=1.4073e-49 t=50309
hua qian 	花錢	c=1 d=1.86051e-10 t=50309
hua qiang 	華強	c=6 d=4.45237e-11 t=50309
hua shi 	花式	c=1 d=1.1949e-36 t=50309
hua shui 	划水	c=9 d=0.000130387 t=50309
hua shuo 	華碩	c=2 d=7.12781e-67 t=50309
hua wei 	華爲	c=5 d=4.41192e-74 t=50309
hua zhuang 	化妝	c=2 d=2.59286e-26 t=50309
huai 	壞	c=11 d=0.794534 t=50309
huai hua 	壞話	c=1 d=0.0109985 t=50309
huai le 	壞了	c=2 d=1.64189e-10 t=50309
huai nv ren 	壞女人	c=1 d=0.000207579 t=50309
huai ren 	壞人	c=1 d=0.000249763 t=50309
huai yi 	懷疑	c=7 d=0.000357992 t=50309
huan 	幻	c=6 d=2.48859e-07 t=50309
huan 	換	c=16 d=2.30715e-10 t=50309
huan 	環	c=11 d=1.07687e-14 t=50309
huan 	還	c=2 d=5.49864e-16 t=50309
huan cun 	緩存	c=10 d=6.9875e-08 t=50309
huan du 	還都	c=1 d=4.46237e-08 t=50309
huan ge 	換個	c=2 d=3.41628e-71 t=50309
huan jie 	環節	c=2 d=4.02501e-88 t=50309
huan jing 	環境	c=10 d=6.35312e-17 t=50309
huan jue 	幻覺	c=1 d=5.42317e-08 t=50309
huan qiu 	環球	c=2 d=4.33242e-72 t=50309
huan ying 	歡迎	c=4 d=4.39818e-14 t=50309
huang 	慌	c=3 d=9.61904e-07 t=50309
huang 	皇	c=1 d=5.74016e-88 t=50309
huang 	黃	c=3 d=0.226655 t=50309
huang di 	皇帝	c=1 d=1.58942e-69 t=50309
huang gua 	黃瓜	c=1 d=2.35122e-58 t=50309
huang ran da wu 	恍然大悟	c=1 d=4.79965e-71 t=50309
huang xiao ming 	黃曉明	c=1 d=0.000128446 t=50309
hui 	回	c=19 d=0.0979937 t=50309
hui 	慧	c=2 d=0.0023935 t=50309
hui 	會	c=19 d=0.0302053 t=50309
hui 	灰	c=4 d=8.44689e-69 t=50309
hui bu hui 	會不會	c=2 d=1.26358e-17 t=50309
hui che 	回車	c=2 d=5.11431e-24 t=50309
hui da 	回答	c=3 d=5.70783e-51 t=50309
hui da wo 	回答我	c=1 d=1.75724e-44 t=50309
hui dang 	迴盪	c=1 d=4.66047e-19 t=50309
hui dao 	回到	c=4 d=0.0578443 t=50309
hui diao 	回調	c=1 d=1.71147e-57 t=50309
hui du 	灰度	c=6 d=3.77116e-28 t=50309
hui fa 	揮發	c=1 d=4.1668e-84 t=50309
hui fu 	回覆	c=4 d=2.53055e-11 t=50309
hui gu 	回顧	c=3 d=3.5565e-15 t=50309
hui gun 	回滾	c=6 d=2.52684e-41 t=50309
hui guo rou 	回鍋肉	c=1 d=1.14664e-51 t=50309
hui he 	回合	c=1 d=6.354e-48 t=50309
hui ji qi 	會計期	c=1 d=4.75462e-20 t=50309
hui ji qi jian 	會計期間	c=2 d=2.55511e-07 t=50309
hui jia 	回家	c=7 d=0.129442 t=50309
hui lai 	回來	c=11 d=5.35444e-27 t=50309
hui mie 	毀滅	c=1 d=2.89818e-48 t=50309
hui ni 	灰泥	c=1 d=2.40247e-47 t=50309
hui qu 	回去	c=36 d=1.11435 t=50309
hui shi 	回事	c=1 d=1 t=49814
hui shou 	回收	c=1 d=1.86273e-24 t=50309
hui shou 	揮手	c=6 d=1.49616e-23 t=50309
hui shou zhan 	回收站	c=1 d=1.54108e-88 t=50309
hui su 	回溯	c=3 d=1.13036e-14 t=50309
hui tian 	迴天	c=0 d=9.36977e-89 t=50309
hui ye 	輝夜	c=3 d=0.113042 t=50309
hui yi 	會議	c=6 d=2.90232e-06 t=50309
hui yi ji yao 	會議紀要	c=1 d=1.01412e-106 t=50309
hui yi shi 	會議室	c=6 d=1.55964e-23 t=50309
hui yong 	會用	c=1 d=8.46917e-105 t=50309
hui you 	會有	c=1 d=2.31299e-71 t=50309
hui yuan 	會員	c=2 d=1.15496e-98 t=50309
hui zong 	彙總	c=1 d=9.59615e-16 t=50309
hui zuo 	會做	c=1 d=2.21498e-91 t=50309
hun 	婚	c=1 d=2.04114e-100 t=50309
hun 	魂	c=1 d=1.0888e-89 t=50309
hun luan 	混亂	c=2 d=9.86558e-77 t=50309
hun qian 	婚前	c=1 d=1.29888e-47 t=50309
hun xiao 	混淆	c=2 d=6.53368e-73 t=50309
huo 	或	c=8 d=1.28577e-67 t=50309
huo 	活	c=12 d=1.41424 t=50309
huo 	火	c=4 d=5.43131e-18 t=50309
huo 	灬	c=1 d=1.71893e-20 t=50309
huo 	豁	c=1 d=7.33298e-28 t=50309
huo 	貨	c=3 d=1.15964e-07 t=50309
huo bu xia qu 	活不下去	c=1 d=1.45722e-18 t=50309
huo che 	火車	c=1 d=2.64747e-13 t=50309
huo de 	活的	c=1 d=2.74691e-35 t=50309
huo de 	獲得	c=9 d=6.36523e-10 t=50309
huo dong 	活動	c=2 d=1.32214e-50 t=50309
huo guo 	火鍋	c=2 d=1.44451e-52 t=50309
huo hu 	火狐	c=1 d=3.74788e-14 t=50309
huo li 	活力	c=1 d=2.11614e-54 t=50309
huo qian 	火鉗	c=0 d=8.28034e-76 t=50309
huo qian liu ming 	火鉗留名	c=1 d=8.32184e-75 t=50309
huo qu 	獲取	c=32 d=0.000101464 t=50309
huo sheng 	獲勝	c=2 d=3.24321e-40 t=50309
huo xu 	或許	c=1 d=3.54732e-14 t=50309
huo yue 	活躍	c=3 d=3.70353e-21 t=50309
huo zhe 	或者	c=39 d=0.000523947 t=50309
huo zhe 	活着	c=4 d=9.56974e-13 t=50309
ji 	即	c=2 d=6.23475e-31 t=50309
ji 	及	c=1 d=7.03159e-93 t=50309
ji 	季	c=1 d=5.5796e-19 t=50309
ji 	寄	c=2 d=0.128575 t=50309
ji 	幾	c=2 d=5.3683e-06 t=50309
ji 	急	c=1 d=1.44843e-35 t=50309
ji 	機	c=3 d=1.8096e-28 t=50309
ji 	計	c=10 d=0.582748 t=50309
ji 	記	c=3 d=0.0459629 t=50309
ji 	集	c=4 d=2.64657e-09 t=50309
ji 	雞	c=8 d=3.05113e-06 t=50309
ji ba 	雞巴	c=1 d=5.28067e-77 t=50309
ji ben 	基本	c=38 d=0.0015648 t=50309
ji ben shang 	基本上	c=1 d=6.91491e-102 t=50309
ji bi ji 	記筆記	c=1 d=1.27511e-65 t=50309
ji bie 	級別	c=5 d=1.42762e-07 t=50309
ji bu zhu 	記不住	c=1 d=2.89021e-45 t=50309
ji chang 	機場	c=4 d=4.03837e-06 t=50309
ji cheng 	繼承	c=5 d=5.34973e-68 t=50309
ji cheng 	集成	c=10 d=5.10702e-66 t=50309
ji chu 	基礎	c=12 d=1.77152e-14 t=50309
ji ci 	幾次	c=4 d=5.73663e-22 t=50309
ji cun qi 	寄存器	c=1 d=7.17387e-64 t=50309
ji da 	幾大	c=2 d=1.39211e-76 t=50309
ji dan 	雞蛋	c=1 d=7.48773e-09 t=50309
ji de 	記得	c=14 d=0.0012292 t=50309
ji dian 	幾點	c=3 d=6.56132e-14 t=50309
ji dong 	激動	c=2 d=1.05708e-06 t=50309
ji du 	季度	c=2 d=1.36734e-73 t=50309
ji fen 	幾分	c=1 d=2.42951e-61 t=50309
ji fen zhong 	幾分鐘	c=1 d=1.75819e-21 t=50309
ji ge 	幾個	c=13 d=0.748264 t=50309
ji ge ren 	幾個人	c=1 d=2.03552e-97 t=50309
ji gou 	機構	c=41 d=0.795634 t=50309
ji hao 	幾號	c=1 d=2.72653e-65 t=50309
ji he 	集合	c=2 d=7.65827e-68 t=50309
ji hua 	計劃	c=19 d=5.48239e-18 t=50309
ji hui 	機會	c=6 d=6.32251e-19 t=50309
ji ji 	濟濟	c=1 d=3.89197e-46 t=50309
ji ji 	積極	c=3 d=1.53538e-15 t=50309
ji jia 	計價	c=5 d=3.31429e-38 t=50309
ji jia mo shi 	計價模式	c=1 d=9.60074e-51 t=50309
ji ke 	即可	c=9 d=7.06489e-31 t=50309
ji ke 	極客	c=11 d=0.00197932 t=50309
ji lei 	積累	c=1 d=1.97617e-43 t=50309
ji lei 	雞肋	c=2 d=1.96631e-43 t=50309
ji ling 	機靈	c=0 d=1.56906e-36 t=50309
ji lou 	幾樓	c=1 d=1.74444e-105 t=50309
ji lu 	記錄	c=37 d=0.0963276 t=50309
ji lv 	機率	c=2 d=1.19805e-27 t=50309
ji mo 	寂寞	c=2 d=4.95424e-50 t=50309
ji neng 	技能	c=1 d=3.6723e-39 t=50309
ji nian 	幾年	c=2 d=5.1649e-88 t=50309
ji nian 	紀念	c=1 d=9.99798e-28 t=50309
ji nian qian 	幾年前	c=1 d=1 t=49740
ji qi 	極其	c=4 d=2.33893e-64 t=50309
ji qi 	機器	c=9 d=5.05739e-10 t=50309
ji qi ren 	機器人	c=3 d=8.11801e-48 t=50309
ji qiao 	技巧	c=2 d=1.36083e-07 t=50309
ji qun 	集羣	c=7 d=0.346456 t=50309
ji ran 	既然	c=9 d=0.000483239 t=50309
ji rou 	肌肉	c=1 d=5.04519e-11 t=50309
ji shi 	即使	c=1 d=3.67081e-93 t=50309
ji shi 	及時	c=11 d=5.67762e-18 t=50309
ji shi wan 	幾十萬	c=1 d=2.6939e-41 t=50309
ji shi zhong 	幾十種	c=1 d=5.35665e-98 t=50309
ji shu 	基數	c=4 d=0.579842 t=50309
ji shu 	技術	c=18 d=0.0044329 t=50309
ji shu 	計數	c=2 d=3.19972e-36 t=50309
ji suan 	計算	c=11 d=8.96139e-05 t=50309
ji suan ji 	計算機	c=1 d=4.60659e-88 t=50309
ji tian 	幾天	c=4 d=2.361e-48 t=50309
ji tuan 	集團	c=3 d=6.08268e-64 t=50309
ji xia qu 	擠下去	c=1 d=8.70605e-106 t=50309
ji xiao 	績效	c=4 d=1.35101e-10 t=50309
ji xiao shi 	幾小時	c=1 d=1.76539e-69 t=50309
ji xu 	繼續	c=31 d=0.440493 t=50309
ji yao 	紀要	c=2 d=1.75975e-105 t=50309
ji zhe 	急着	c=1 d=1 t=50053
ji zhen 	幾針	c=1 d=4.65066e-53 t=50309
ji zhi 	極致	c=1 d=3.37489e-16 t=50309
ji zhi 	機制	c=2 d=2.743e-77 t=50309
ji zhong 	擊中	c=1 d=1.62827e-59 t=50309
ji zhong 	集中	c=1 d=1.61207e-59 t=50309
ji zi 	機子	c=1 d=7.48064e-86 t=50309
jia 	佳	c=4 d=1.60906e-37 t=50309
jia 	假	c=4 d=0.000633025 t=50309
jia 	價	c=3 d=0.0788664 t=50309
jia 	加	c=78 d=0.0823898 t=50309
jia 	家	c=9 d=0.00524752 t=50309
jia 	甲	c=1 d=1.40371e-19 t=50309
jia ban 	加班	c=14 d=0.4333 t=50309
jia da 	加大	c=1 d=6.32359e-21 t=50309
jia dao 	駕到	c=1 d=5.53632e-45 t=50309
jia de 	家的	c=1 d=4.67557e-57 t=50309
jia dian 	加點	c=1 d=0.00030659 t=50309
jia ge 	價格	c=20 d=0.0473736 t=50309
jia ge 	加個	c=2 d=3.18929e-27 t=50309
jia gong 	加工	c=3 d=5.14995e-60 t=50309
jia gou 	架構	c=12 d=5.77933e-21 t=50309
jia gou shi 	架構師	c=1 d=1.11446e-69 t=50309
jia huo 	傢伙	c=6 d=4.37327e-06 t=50309
jia jian 	加減	c=1 d=1.12291e-99 t=50309
jia kuai 	加快	c=1 d=5.32739e-63 t=50309
jia li 	家裏	c=2 d=1.17992e-64 t=50309
jia qi 	假期	c=1 d=1.87328e-61 t=50309
jia qiang 	加強	c=2 d=3.9096e-11 t=50309
jia quan 	加權	c=4 d=9.55285e-51 t=50309
jia quan 	甲醛	c=1 d=5.46486e-98 t=50309
jia ru 	假如	c=2 d=3.13573e-63 t=50309
jia ru 	加入	c=4 d=1.70861e-08 t=50309
jia shang 	加上	c=8 d=3.02179e-10 t=50309
jia shen 	加深	c=4 d=8.15592e-44 t=50309
jia you 	加油	c=49 d=1.96965 t=50309
jia zai 	加載	c=4 d=2.00126e-15 t=50309
jia zhang 	家長	c=1 d=1.27576e-71 t=50309
jia zhe 	夾着	c=1 d=1.72784e-22 t=50309
jia zhi 	價值	c=2 d=8.19288e-09 t=50309
jian 	件	c=1 d=4.30921e-97 t=50309
jian 	剪	c=1 d=8.28482e-52 t=50309
jian 	劍	c=1 d=1.01067e-66 t=50309
jian 	建	c=6 d=5.4136e-46 t=50309
jian 	減	c=9 d=9.07797e-10 t=50309
jian 	見	c=4 d=1.79371e-21 t=50309
jian 	鍵	c=3 d=5.56793e-10 t=50309
jian 	間	c=5 d=4.90862e-19 t=50309
jian cha 	檢查	c=14 d=8.19166e-37 t=50309
jian chi 	堅持	c=5 d=2.02447e-20 t=50309
jian dan 	簡單	c=39 d=0.0547814 t=50309
jian dao 	剪刀	c=1 d=1.64301e-18 t=50309
jian dao 	見到	c=1 d=1.63482e-18 t=50309
jian duan 	簡短	c=2 d=9.26723e-89 t=50309
jian er yan zhi 	簡而言之	c=1 d=1.42003e-08 t=50309
jian fei 	減肥	c=4 d=2.85018e-28 t=50309
jian ge 	間隔	c=2 d=7.9068e-32 t=50309
jian guai 	見怪	c=1 d=0.000274654 t=50309
jian guo 	見過	c=2 d=2.15823e-21 t=50309
jian hua 	簡化	c=4 d=7.1712e-89 t=50309
jian jian dan dan 	簡簡單單	c=1 d=3.64878e-81 t=50309
jian jiao 	尖叫	c=1 d=2.56609e-28 t=50309
jian jie 	簡介	c=1 d=2.83877e-69 t=50309
jian jie 	簡潔	c=17 d=1.7827e-29 t=50309
jian jie 	間接	c=1 d=4.08138e-105 t=50309
jian jie zhi dao 	簡潔之道	c=1 d=2.06453e-87 t=50309
jian ju 	間距	c=1 d=1.26199e-61 t=50309
jian kang 	健康	c=1 d=1.39833e-62 t=50309
jian kong 	監控	c=4 d=1.21635e-10 t=50309
jian li 	建立	c=3 d=4.37237e-24 t=50309
jian pan 	鍵盤	c=7 d=0.000188891 t=50309
jian qie 	剪切	c=1 d=5.06843e-65 t=50309
jian qu 	減去	c=3 d=0.0338776 t=50309
jian quan 	鑑權	c=1 d=1.36264e-52 t=50309
jian rong 	兼容	c=9 d=3.157e-17 t=50309
jian rong xing 	兼容性	c=1 d=4.99977e-81 t=50309
jian shao 	減少	c=2 d=4.39654e-39 t=50309
jian shen 	健身	c=2 d=1.5949e-66 t=50309
jian shen fang 	健身房	c=3 d=5.42297e-28 t=50309
jian shen ka 	健身卡	c=1 d=2.97367e-27 t=50309
jian shi qing 	件事情	c=1 d=2.46337e-18 t=50309
jian shu 	建樹	c=1 d=4.60689e-30 t=50309
jian shuo 	健碩	c=1 d=1.33789e-101 t=50309
jian su 	減速	c=1 d=1.66728e-14 t=50309
jian ting 	監聽	c=4 d=1.41507e-55 t=50309
jian tou 	箭頭	c=1 d=2.95151e-86 t=50309
jian tou fa 	剪頭髮	c=1 d=2.70915e-78 t=50309
jian xie 	簡寫	c=1 d=3.89051e-71 t=50309
jian yi 	建議	c=4 d=3.75363e-32 t=50309
jian yi ge 	見一個	c=1 d=8.29496e-37 t=50309
jian zao zhe 	建造者	c=3 d=6.2972e-76 t=50309
jian zhi 	簡直	c=6 d=6.19831e-17 t=50309
jian zhuang 	健壯	c=2 d=1.69905e-89 t=50309
jian zhuang xing 	健壯性	c=6 d=2.18672e-89 t=50309
jiang 	將	c=3 d=3.19255e-39 t=50309
jiang 	江	c=1 d=2.92612e-102 t=50309
jiang 	獎	c=1 d=1.80264e-50 t=50309
jiang 	講	c=34 d=0.0164083 t=50309
jiang 	降	c=1 d=2.8496e-55 t=50309
jiang dao li 	講道理	c=8 d=0.0593146 t=50309
jiang di 	降低	c=1 d=3.08579e-80 t=50309
jiang jiang 	講講	c=2 d=6.01592e-43 t=50309
jiang jie 	講解	c=1 d=4.76094e-64 t=50309
jiang jin 	獎金	c=2 d=1.3742e-73 t=50309
jiang ke 	講課	c=1 d=4.03828e-39 t=50309
jiang li 	獎勵	c=2 d=4.57556e-28 t=50309
jiang qi 	將其	c=1 d=4.13039e-69 t=50309
jiang shi 	殭屍	c=2 d=1.25685e-13 t=50309
jiang shi 	講師	c=3 d=3.5848e-20 t=50309
jiang shu 	講述	c=1 d=3.33154e-11 t=50309
jiang yan 	講演	c=1 d=2.09224e-38 t=50309
jiang zhen 	講真	c=1 d=1.49921e-58 t=50309
jiao 	交	c=5 d=0.0222592 t=50309
jiao 	叫	c=21 d=0.637628 t=50309
jiao 	教	c=4 d=0.00306778 t=50309
jiao 	腳	c=5 d=3.60618e-57 t=50309
jiao 	角	c=1 d=1.89152e-28 t=50309
jiao 	較	c=1 d=8.78159e-90 t=50309
jiao ben 	腳本	c=4 d=4.60517e-55 t=50309
jiao cai 	教材	c=1 d=1.52736e-71 t=50309
jiao cheng 	教程	c=10 d=5.47666e-60 t=50309
jiao chuan 	嬌喘	c=1 d=2.61651e-51 t=50309
jiao di 	較低	c=1 d=4.78547e-95 t=50309
jiao huai 	教壞	c=1 d=4.33639e-24 t=50309
jiao huan 	交換	c=5 d=4.68069e-11 t=50309
jiao ji 	交集	c=2 d=5.72474e-27 t=50309
jiao liu 	交流	c=4 d=0.000569928 t=50309
jiao nan 	較難	c=1 d=3.93765e-95 t=50309
jiao ni 	叫你	c=8 d=1.44754e-17 t=50309
jiao ni 	教你	c=7 d=7.77435e-46 t=50309
jiao ni men 	叫你們	c=1 d=3.48218e-90 t=50309
jiao peng you 	交朋友	c=1 d=0.0220377 t=50309
jiao sha 	叫啥	c=3 d=7.37267e-16 t=50309
jiao wei 	較爲	c=1 d=1.69179e-68 t=50309
jiao wo 	叫我	c=6 d=3.72665e-06 t=50309
jiao wo men 	叫我們	c=1 d=6.33286e-97 t=50309
jiao xue 	教學	c=1 d=6.36266e-64 t=50309
jiao yan 	校驗	c=175 d=3.556e-13 t=50309
jiao yan qi 	校驗器	c=20 d=5.78478e-49 t=50309
jiao zi 	餃子	c=5 d=8.61565e-18 t=50309
jiao zuo 	叫做	c=6 d=2.98238e-32 t=50309
jie 	借	c=1 d=1.0256e-62 t=50309
jie 	傑	c=4 d=1.59364e-12 t=50309
jie 	姐	c=18 d=5.73883e-05 t=50309
jie 	屆	c=1 d=6.69115e-68 t=50309
jie 	接	c=2 d=1.80916e-63 t=50309
jie 	界	c=1 d=5.70474e-74 t=50309
jie 	節	c=4 d=1.73108e-44 t=50309
jie 	解	c=8 d=6.74412e-06 t=50309
jie ba 	結巴	c=1 d=1.05935e-90 t=50309
